Date;Symbol;Indexvalue
04.01.1999;V6I1;21.2458
05.01.1999;V6I1;36.64
06.01.1999;V6I1;25.4107
07.01.1999;V6I1;35.441
08.01.1999;V6I1;35.8846
11.01.1999;V6I1;46.9742
12.01.1999;V6I1;48.6277
13.01.1999;V6I1;55.2934
18.01.1999;V6I1;38.8913
19.01.1999;V6I1;38.9344
20.01.1999;V6I1;35.506
21.01.1999;V6I1;36.6065
22.01.1999;V6I1;39.3615
25.01.1999;V6I1;39.6008
26.01.1999;V6I1;41.8125
27.01.1999;V6I1;40.5969
28.01.1999;V6I1;38.0734
29.01.1999;V6I1;37.22
01.02.1999;V6I1;35.9769
02.02.1999;V6I1;37.9446
03.02.1999;V6I1;38.9465
04.02.1999;V6I1;37.6938
05.02.1999;V6I1;36.3039
08.02.1999;V6I1;39.435
09.02.1999;V6I1;40.93
10.02.1999;V6I1;38.4648
11.02.1999;V6I1;36.1257
12.02.1999;V6I1;35.8203
15.02.1999;V6I1;37.9043
16.02.1999;V6I1;36.7605
17.02.1999;V6I1;41.7057
22.02.1999;V6I1;32.3856
23.02.1999;V6I1;31.4928
24.02.1999;V6I1;30.5968
25.02.1999;V6I1;32.3411
26.02.1999;V6I1;30.6143
01.03.1999;V6I1;33.4818
02.03.1999;V6I1;32.6807
03.03.1999;V6I1;34.0188
04.03.1999;V6I1;30.8178
05.03.1999;V6I1;28.2572
08.03.1999;V6I1;28.3003
09.03.1999;V6I1;28.6321
10.03.1999;V6I1;27.9845
11.03.1999;V6I1;26.8203
12.03.1999;V6I1;27.1633
15.03.1999;V6I1;28.9361
16.03.1999;V6I1;30.7105
17.03.1999;V6I1;39.9562
22.03.1999;V6I1;27.5911
23.03.1999;V6I1;29.4503
24.03.1999;V6I1;30.5815
25.03.1999;V6I1;28.171
26.03.1999;V6I1;28.872
29.03.1999;V6I1;27.1928
30.03.1999;V6I1;27.0823
31.03.1999;V6I1;24.5876
01.04.1999;V6I1;23.8783
06.04.1999;V6I1;24.6959
07.04.1999;V6I1;25.5237
08.04.1999;V6I1;25.629
09.04.1999;V6I1;25.6521
12.04.1999;V6I1;33.3963
13.04.1999;V6I1;33.0476
14.04.1999;V6I1;33.5695
19.04.1999;V6I1;25.374
20.04.1999;V6I1;26.9088
21.04.1999;V6I1;25.7227
22.04.1999;V6I1;24.9981
23.04.1999;V6I1;24.8019
26.04.1999;V6I1;25.0609
27.04.1999;V6I1;23.3255
28.04.1999;V6I1;23.6557
29.04.1999;V6I1;23.4417
30.04.1999;V6I1;21.9936
03.05.1999;V6I1;22.2449
04.05.1999;V6I1;23.5684
05.05.1999;V6I1;24.1194
06.05.1999;V6I1;26.0376
07.05.1999;V6I1;26.3707
10.05.1999;V6I1;26.1643
11.05.1999;V6I1;24.6244
12.05.1999;V6I1;25.3399
14.05.1999;V6I1;28.2791
17.05.1999;V6I1;34.5427
18.05.1999;V6I1;33.0406
19.05.1999;V6I1;30.2472
25.05.1999;V6I1;27.0551
26.05.1999;V6I1;27.1819
27.05.1999;V6I1;27.7757
28.05.1999;V6I1;25.397
31.05.1999;V6I1;24.7206
01.06.1999;V6I1;24.6443
02.06.1999;V6I1;24.6682
03.06.1999;V6I1;25.4886
04.06.1999;V6I1;21.4144
07.06.1999;V6I1;21.0597
08.06.1999;V6I1;21.5748
09.06.1999;V6I1;21.3853
10.06.1999;V6I1;23.4159
11.06.1999;V6I1;21.5851
14.06.1999;V6I1;26.6315
15.06.1999;V6I1;26.4708
16.06.1999;V6I1;26.0891
21.06.1999;V6I1;20.506
22.06.1999;V6I1;20.865
23.06.1999;V6I1;22.3455
24.06.1999;V6I1;23.1878
25.06.1999;V6I1;22.3366
28.06.1999;V6I1;23.6648
29.06.1999;V6I1;24.0524
30.06.1999;V6I1;24.3511
01.07.1999;V6I1;21.9421
02.07.1999;V6I1;20.0131
05.07.1999;V6I1;20.3884
06.07.1999;V6I1;21.5185
07.07.1999;V6I1;22.9822
08.07.1999;V6I1;23.0787
09.07.1999;V6I1;21.4116
12.07.1999;V6I1;25.6824
13.07.1999;V6I1;27.5181
14.07.1999;V6I1;28.5863
19.07.1999;V6I1;20.3498
20.07.1999;V6I1;22.0277
21.07.1999;V6I1;24.2007
22.07.1999;V6I1;25.036
